"Label (Grouping)","Ames city, Iowa!!Total!!Estimate","Ames city, Iowa!!Male!!Estimate","Ames city, Iowa!!Female!!Estimate"
"Total population","66,950","35,565","31,385"
"    AGE","","",""
"        Under 5 years","1,469","721","748"
"        5 to 9 years","2,187","873","1,314"
"        10 to 14 years","2,153","1,312","841"
"        15 to 19 years","12,438","7,613","4,825"
"        20 to 24 years","18,710","9,288","9,422"
"        25 to 29 years","5,132","3,053","2,079"
"        30 to 34 years","3,843","1,991","1,852"
"        35 to 39 years","2,708","1,663","1,045"
"        40 to 44 years","3,063","1,771","1,292"
"        45 to 49 years","2,282","1,162","1,120"
"        50 to 54 years","1,277","715","562"
"        55 to 59 years","2,076","953","1,123"
"        60 to 64 years","2,203","1,062","1,141"
"        65 to 69 years","1,856","589","1,267"
"        70 to 74 years","2,146","1,220","926"
"        75 to 79 years","1,221","525","696"
"        80 to 84 years","1,468","438","1,030"
"        85 years and over","718","616","102"
"    SELECTED AGE CATEGORIES","","",""
"        5 to 14 years","4,340","2,185","2,155"
"        15 to 17 years","1,135","727","408"
"        Under 18 years","6,944","3,633","3,311"
"        18 to 24 years","30,013","16,174","13,839"
"        15 to 44 years","45,894","25,379","20,515"
"        16 years and over","60,902","32,573","28,329"
"        18 years and over","60,006","31,932","28,074"
"        21 years and over","42,678","22,598","20,080"
"        60 years and over","9,612","4,450","5,162"
"        62 years and over","9,236","4,285","4,951"
"        65 years and over","7,409","3,388","4,021"
"        75 years and over","3,407","1,579","1,828"
"    SUMMARY INDICATORS","","",""
"        Median age (years)","23.0","22.9","23.3"
"        Sex ratio (males per 100 females)","113.3","(X)","(X)"
"        Age dependency ratio","27.3","(X)","(X)"
"        Old-age dependency ratio","14.1","(X)","(X)"
"        Child dependency ratio","13.2","(X)","(X)"
"    PERCENT ALLOCATED","","",""
"        Sex","(X)","(X)","(X)"
"        Age","(X)","(X)","(X)"